movie_id,budget_x,revenue,genre,status,score
4588,60804639.8,43312294,"Action, Adventure, Drama", Released,68
4589,29521149.2,5800000,Western, Released,79
4590,126000000,596470113.4,"Action, Adventure, Drama, Fantasy, Animation", Released,75
4591,2540000,7241009,"Comedy, Music, Romance, Drama", Released,82
4592,125000,2466552.8,Horror, Released,46
4593,15000000,50065119,"Drama, War", Released,80
4594,119100000,298947444.2,"Drama, Romance, Thriller", Released,59
4595,6000000,1474224,"Horror, Action, Thriller, Fantasy", Released,62
4596,11000000,276448971.6,"Drama, TV Movie", Released,65
4597,69600000,334330737.6,"Comedy, Horror", Released,66
4598,10000000,26488734,Comedy, Released,62
4599,117000000,524253075.6,"Action, Horror, Adventure", Released,48
4600,144000000,446230447.4,"Action, Crime, Thriller", Released,58
4601,6,10,"Family, Comedy", Released,71
4602,35000000,48169910,"Drama, History", Released,75
4603,74000000,333098256.2,Romance, Released,69
4604,8000000,82000000,"Adventure, Action, Thriller", Released,66
4605,49200000,427304425.6,Horror, Released,55
4606,49000000,835102,"Comedy, Action", Released,65
4607,153400000,353130684.6,"Science Fiction, Action, Horror", Released,53
4608,5000000,109252972,"Drama, Comedy, Music", Released,76
4609,47270000,329856760.8,Drama, Released,35
4610,11920689,67413,"Action, Drama, Thriller", Released,62
4611,15000000,34527095,"Comedy, Drama, Crime", Released,75
4612,162100000,437846475.2,"Romance, Drama", Released,59
4613,137400000,340369772,"Comedy, Fantasy, Crime, TV Movie", Released,62
4614,118200000,462863837.6,"Thriller, Drama, Crime", Released,71
4615,223940000,175269998.8,"Romance, Action, Drama", Released,0
4616,66000000,350558214.6,Animation, Released,56
4617,75000000,197744377,"Adventure, Comedy, Family, Fantasy", Released,73
4618,3500000,237113184,"Music, Drama", Released,67
4619,74500000,351014753.8,"Romance, Comedy, Drama", Released,68
4620,40000000,190212113,"Comedy, Family", Released,63
4621,85000000,645835675.2,"Drama, Romance", Released,74
4622,4473585.6,193425,"Animation, Action, Science Fiction", Released,59
4623,50000000,159745279,"Drama, Romance, Comedy", Released,72
4624,75000000,73521587,"Comedy, Crime", Released,66
4625,58000000,101815660,"Comedy, Crime", Released,66
4626,39780000,19474589,"Comedy, Family, Romance", Released,65
4627,94000000,321279166.8,Thriller, Released,63
4628,118800000,842846355.6,Documentary, Released,40
4629,8000000,57000000,"Horror, Mystery, Fantasy", Released,64
4630,25000000,14805812,Horror, Released,74
4631,11000000,78356170,Drama, Released,74
4632,1000000,16566240,"Drama, Romance", Released,69
4633,33000000,54533774,"Action, Thriller", Released,57
4634,7418531.4,2746207,"Thriller, Science Fiction, Action", Released,64
4635,12000000,43924923,"Action, Thriller, Crime", Released,66
4636,213940000,178359863,"Romance, Comedy", Released,0
4637,4000000,13001044,"Science Fiction, Action", Released,73
4638,10000000,20766000,"Thriller, Horror, Science Fiction", Released,70
4639,145000000,448191819,"Animation, Action, Adventure, Family", Released,57
4640,375000,1772000,"Mystery, Crime, Thriller", Released,78
4641,6000000,10619770,"Drama, Romance", Released,71
4642,3500000,43462750.4,"Fantasy, Horror", Released,60
4643,128000000,623038635.2,"Mystery, Family, Animation, Adventure, Comedy", Released,72
4644,150600000,343946197.6,"Animation, Action, Science Fiction", Released,68
4645,16507081.4,384659,"Animation, Fantasy, Family", Released,62
4646,6000004,958883,"Drama, Action, Crime", Released,68
4647,66240000,320425004.6,"Romance, Comedy", Released,66
4648,92200000,254504167.2,"Action, Drama", Released,60
4649,9000000,0,"Science Fiction, Adventure", Released,60
4650,12000000,37566117,"Western, Crime, Drama, Thriller", Released,73
4651,94000000,321279166.8,Thriller, Released,63
4652,75000000,213500000,"Adventure, Action, Thriller", Released,60
4653,101000000,503582663.4,"Horror, Mystery, Crime, Thriller", Released,66
4654,35000000,145241469.4,"Drama, Thriller", Released,66
4655,118600000,245108932.8,Comedy, Released,57
